STN_Code,Location_Name,Water_Body_Type,State_Name,Temperature_Min,Temperature_Max,DO_Min,DO_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,BOD_Max,Nitrate_Min,Nitrate_Max,Fecal_Coliform_Min,Fecal_Coliform_Max,Total_Coliform_Min,Total_Coliform_Max,Water_Quality,Pollution_Level
4524.0,PATTANDUR AGARAHARA,LAKE,KARNATAKA,25.0,25.0,0.3,6.8,6.5,8.2,346.0,741.0,4.0,32.0,0.5,2.8,330.0,63000.0,9200.0,540000.0,Poor,Highly Polluted
3624.0,PUTTENAHALLI LAKE,LAKE,KARNATAKA,25.0,25.0,3.0,6.3,6.6,7.7,459.0,1173.0,3.0,22.0,1.1,2.57,3300.0,94000.0,24000.0,540000.0,Poor,Highly Polluted
3614.0,PUTTENAHALLI LAKE (S),LAKE,KARNATAKA,25.0,25.0,4.7,6.0,6.9,7.8,290.0,1233.0,3.0,11.0,1.1,3.0,4000.0,9400.0,35000.0,54000.0,Poor,Highly Polluted
4510.0,RACHENAHALLI LAKE,LAKE,KARNATAKA,25.0,25.0,3.1,6.7,6.6,8.5,413.0,1236.0,4.0,23.0,0.47,4.6,3300.0,150000.0,24000.0,1600000.0,Poor,Highly Polluted
4519.0,RAMPURA LAKE,LAKE,KARNATAKA,25.0,25.0,0.3,4.2,6.6,7.4,1023.0,1480.0,9.0,93.0,0.9,6.0,3300.0,1700000.0,35000.0,9200000.0,Poor,Highly Polluted
4514.0,SADRAMANGALA LAKE,LAKE,KARNATAKA,24.0,25.0,1.5,7.0,6.5,8.3,552.0,1027.0,4.0,35.0,1.4,10.0,3300.0,15000.0,24000.0,160000.0,Poor,Highly Polluted
4504.0,SARAKKI LAKE,LAKE,KARNATAKA,25.0,25.0,4.9,7.1,6.9,8.2,415.0,783.0,3.0,9.0,0.3,5.0,3300.0,120000.0,24000.0,920000.0,Poor,Moderately Polluted
4525.0,SEETHARAM PALYA LAKE,LAKE,KARNATAKA,25.0,25.0,0.3,5.9,7.1,8.7,512.0,3860.0,4.0,50.0,2.09,11.0,3300.0,63000.0,24000.0,540000.0,Poor,Highly Polluted
3587.0,SHETTYKERE LAKE,LAKE,KARNATAKA,20.0,34.0,4.3,6.6,6.9,8.9,583.0,1028.0,3.0,6.0,1.8,3.6,700.0,2200.0,4700.0,7000.0,Moderate,Slightly Polluted
4508.0,SINGAPURA LAKE,LAKE,KARNATAKA,25.0,25.0,0.3,5.2,6.5,7.2,886.0,1374.0,5.0,47.0,0.3,5.9,4800.0,790000.0,35000.0,5400000.0,Poor,Highly Polluted
3618.0,SINGASANDRA LAKE,LAKE,KARNATAKA,25.0,25.0,1.1,7.0,6.5,7.6,562.0,1367.0,4.0,36.0,0.5,6.0,4300.0,130000.0,35000.0,1600000.0,Poor,Highly Polluted
3622.0,SOMASUNDRA PALYA LAKE,LAKE,KARNATAKA,25.0,25.0,2.8,6.9,6.6,7.6,216.0,1323.0,3.4,21.0,0.5,3.4,2300.0,140000.0,24000.0,920000.0,Poor,Highly Polluted
4534.0,SOMPURA LAKE,LAKE,KARNATAKA,25.0,25.1,4.2,7.2,7.0,7.7,239.0,532.0,2.0,6.0,0.6,2.1,2300.0,110000.0,24000.0,920000.0,Moderate,Slightly Polluted
4547.0,SWARANA KUNTE,LAKE,KARNATAKA,25.0,25.0,4.2,6.8,6.5,8.5,444.0,1320.0,3.0,9.0,0.5,3.0,2300.0,120000.0,24000.0,1600000.0,Poor,Moderately Polluted
3610.0,TUBRAHALLI LAKE,LAKE,KARNATAKA,25.0,25.0,0.3,4.8,6.7,8.1,1109.0,1593.0,7.0,81.0,0.4,3.0,9400.0,13000.0,54000.0,160000.0,Poor,Highly Polluted
4533.0,ULLALU LAKE,LAKE,KARNATAKA,25.0,25.0,2.0,6.3,6.5,7.7,369.0,1561.0,3.0,15.0,0.58,25.0,3400.0,630000.0,24000.0,5400000.0,Poor,Highly Polluted
3593.0,ULSOOR LAKE TEMPLE,LAKE,KARNATAKA,25.0,25.0,1.8,7.0,6.6,8.8,254.0,551.0,3.0,42.0,0.3,2.01,4000.0,700000.0,24000.0,3500000.0,Poor,Highly Polluted
1388.0,"ULSOOR LAKE TRAINING CENTRE OF FISH BREEDING,",LAKE,KARNATAKA,25.0,25.0,2.0,6.8,6.8,8.5,253.0,570.0,3.0,38.0,0.67,2.0,2300.0,490000.0,24000.0,2400000.0,Poor,Highly Polluted
3608.0,VARTHUR LAKE,LAKE,KARNATAKA,25.0,26.0,0.3,4.8,6.5,7.7,798.0,1347.0,6.0,60.0,1.0,19.0,11000.0,1500000000.0,160000.0,1600000000.0,Poor,Highly Polluted
4527.0,WHITEFIELD KERE,LAKE,KARNATAKA,24.0,25.0,0.3,6.9,6.6,8.4,496.0,889.0,4.0,62.0,0.3,13.4,3300.0,150000.0,24000.0,1600000.0,Poor,Highly Polluted
3592.0,YEDIYUR LAKE,LAKE,KARNATAKA,25.0,25.0,4.1,7.1,6.5,8.2,201.0,334.0,3.0,18.0,0.6,2.4,4600.0,46000.0,24000.0,920000.0,Poor,Highly Polluted
3585.0,YENNEHOLE LAKE,LAKE,KARNATAKA,21.0,33.0,1.0,3.9,7.0,8.5,742.0,1252.0,1.4,14.0,2.5,7.5,1300.0,4900.0,7900.0,14000.0,Poor,Highly Polluted
3696.0,AIANAKERE TANK,TANK,KARNATAKA,23.0,32.0,3.1,7.2,8.0,8.3,654.0,1980.0,4.0,132.0,0.3,1.4,,,,,Poor,Highly Polluted
3629.0,ALLASANDRA TANK,TANK,KARNATAKA,25.0,25.0,4.0,6.4,6.5,8.4,421.0,1223.0,4.0,8.5,0.9,5.0,6300.0,11000000.0,54000.0,92000000.0,Poor,Moderately Polluted
4541.0,ALUR KERE,TANK,KARNATAKA,25.0,25.0,4.2,6.9,6.5,7.3,89.0,678.0,3.0,16.0,0.3,2.0,3300.0,49000.0,35000.0,240000.0,Poor,Highly Polluted
3623.0,ANEKAL DODDAKERE TANK,TANK,KARNATAKA,25.0,25.0,0.3,7.3,6.6,8.0,414.0,3020.0,2.0,69.0,0.72,11.1,3300.0,15000.0,24000.0,160000.0,Poor,Highly Polluted
3681.0,ANGOL MI TANK,TANK,KARNATAKA,21.0,33.0,0.3,8.0,6.6,9.5,293.0,584.0,3.7,57.0,0.32,5.46,1480.0,1840.0,3200.0,3200.0,Poor,Highly Polluted
3638.0,ANNAYAPPA TANK,TANK,KARNATAKA,25.0,25.0,4.0,7.0,6.5,8.1,173.0,493.0,3.0,8.0,0.3,1.53,4100.0,46000.0,24000.0,540000.0,Poor,Moderately Polluted
3673.0,AVALI KERE,TANK,KARNATAKA,21.0,27.0,3.0,4.3,7.3,7.9,980.0,1930.0,3.8,6.4,0.7,1.3,130.0,930.0,1100.0,4900.0,Poor,Moderately Polluted
3675.0,B KATIHALLI KERE,TANK,KARNATAKA,21.0,27.0,5.4,6.7,7.4,7.9,290.0,450.0,2.0,2.4,0.3,0.3,110.0,140.0,920.0,1200.0,Good,Clean
3636.0,BANDEMATTA TANK,TANK,KARNATAKA,25.0,25.0,3.0,6.9,6.5,7.6,196.0,1268.0,5.0,18.0,0.4,3.23,6300.0,33000.0,54000.0,240000.0,Poor,Highly Polluted
3664.0,BASAVANAHALLIKERE TANK,TANK,KARNATAKA,25.0,25.0,5.9,5.9,7.7,7.7,500.0,500.0,2.0,2.0,0.3,0.3,330.0,330.0,2200.0,2200.0,Good,Clean
3643.0,BEENNIGANAHALLI TANK,TANK,KARNATAKA,25.0,25.0,0.5,7.0,6.6,7.9,304.0,1079.0,3.0,24.0,0.73,2.7,3300.0,70000.0,24000.0,1600000.0,Poor,Highly Polluted
3619.0,BEGUR TANK,TANK,KARNATAKA,25.0,25.0,4.1,6.5,6.4,7.5,426.0,1444.0,3.0,10.0,0.7,8.0,2700.0,110000.0,24000.0,920000.0,Poor,Moderately Polluted
3693.0,BHATHIKERE TANK,TANK,KARNATAKA,26.0,32.0,0.5,7.3,7.1,7.8,260.0,890.0,3.0,12.0,0.3,6.87,,,,,Poor,Highly Polluted
3651.0,BHEEMSANDRA TANK,TANK,KARNATAKA,25.0,25.0,1.0,6.2,6.7,7.4,740.0,1870.0,4.0,46.0,2.0,78.0,3300.0,110000.0,35000.0,920000.0,Poor,Highly Polluted
3637.0,BYRAMANGALA TANK,TANK,KARNATAKA,25.0,25.0,2.2,6.1,6.8,7.7,821.0,1413.0,4.0,27.0,0.81,6.1,3300.0,120000.0,24000.0,920000.0,Poor,Highly Polluted
3595.0,BYRASANDRA TANK,TANK,KARNATAKA,25.0,25.1,3.2,6.2,6.5,7.7,274.0,1223.0,3.0,14.0,0.94,4.3,4800.0,150000.0,35000.0,1600000.0,Poor,Highly Polluted
4532.0,CHANDAPURA LAKE,TANK,KARNATAKA,25.0,25.0,0.3,5.0,6.7,7.4,1099.0,2309.0,6.0,42.0,1.0,27.0,2300.0,460000.0,24000.0,3500000.0,Poor,Highly Polluted
3606.0,DASARAHALLI TANK,TANK,KARNATAKA,25.0,26.0,2.9,6.8,6.1,7.4,194.0,1120.0,2.0,14.0,0.51,2.5,3300.0,40000.0,13000.0,350000.0,Poor,Highly Polluted
3634.0,DEVARAKERE TANK,TANK,KARNATAKA,25.0,25.0,3.0,7.3,6.5,7.6,271.0,2540.0,3.0,17.0,0.3,6.6,4700.0,94000.0,35000.0,920000.0,Poor,Highly Polluted
3641.0,DHOREKERE TANK,TANK,KARNATAKA,25.0,25.0,0.3,6.3,6.5,7.4,237.0,1145.0,3.8,39.0,0.7,5.2,2300.0,120000.0,24000.0,920000.0,Poor,Highly Polluted
3653.0,DODDAKERE TANK,TANK,KARNATAKA,25.0,26.0,4.8,7.2,6.5,7.3,155.0,406.0,3.0,6.0,0.3,1.0,2300.0,15000.0,24000.0,160000.0,Moderate,Slightly Polluted
3604.0,DODDANAKUNDI TANK,TANK,KARNATAKA,25.0,25.0,3.3,6.1,6.5,7.8,574.0,2730.0,4.0,10.0,1.1,4.5,3300.0,49000.0,35000.0,240000.0,Poor,Moderately Polluted
4526.0,DYAVASANDRA TANK,TANK,KARNATAKA,25.0,25.0,4.0,6.8,6.3,7.9,236.0,775.0,2.0,9.0,0.6,3.0,3300.0,14000.0,24000.0,160000.0,Poor,Moderately Polluted
3666.0,GANIGARAHOSAHALLIKERE TANK,TANK,KARNATAKA,21.0,25.0,4.6,6.0,7.6,8.3,460.0,1180.0,2.0,3.2,0.3,0.4,140.0,320.0,1100.0,2100.0,Moderate,Slightly Polluted
3676.0,GAVENAHALLIKERE,TANK,KARNATAKA,20.0,28.0,5.6,7.3,7.4,7.9,330.0,470.0,2.0,2.2,0.3,0.3,92.0,220.0,920.0,1400.0,Good,Clean
3671.0,HANUMANTHAPURAKATTE TANK,TANK,KARNATAKA,22.0,27.0,4.2,5.7,7.5,7.8,390.0,500.0,2.2,2.6,0.3,0.3,210.0,340.0,1700.0,2200.0,Good,Clean
3683.0,HEREKERE TANK,TANK,KARNATAKA,24.0,26.0,4.5,5.5,7.4,7.9,739.0,889.0,9.0,24.0,1.22,1.67,63.0,175.0,279.0,561.0,Poor,Highly Polluted
3598.0,HEROHALLI TANK,TANK,KARNATAKA,25.0,25.0,0.3,6.3,6.2,7.4,321.0,1566.0,4.0,30.0,0.3,6.3,3400.0,46000.0,24000.0,350000.0,Poor,Highly Polluted
3597.0,HESARAGHATTA TANK,TANK,KARNATAKA,25.0,25.0,4.8,6.6,5.4,8.1,123.0,702.0,2.0,7.0,0.3,2.4,4600.0,6300000.0,35000.0,54000000.0,Poor,Moderately Polluted
3559.0,HULLIGE TANK,TANK,KARNATAKA,24.0,29.0,6.9,7.5,7.4,8.4,312.0,1485.0,2.5,6.0,0.3,1.3,350.0,1400.0,1600.0,5400.0,Moderate,Slightly Polluted
3660.0,HUNASINA KERE TANK,TANK,KARNATAKA,21.0,27.0,5.3,7.1,7.3,7.8,440.0,530.0,2.0,2.6,0.3,0.3,170.0,700.0,1200.0,3500.0,Good,Clean
3561.0,HUNDIKERE (KOPPAL) TANK,TANK,KARNATAKA,24.0,29.0,7.0,7.6,7.5,8.4,326.0,1458.0,3.0,6.0,0.3,0.3,350.0,1300.0,1600.0,5400.0,Moderate,Slightly Polluted
3670.0,INORKATTE KERE,TANK,KARNATAKA,23.0,24.0,4.6,6.0,7.3,7.8,320.0,440.0,2.0,2.2,0.3,0.32,200.0,330.0,1700.0,2200.0,Good,Clean
3642.0,JIGANI TNAK,TANK,KARNATAKA,23.0,25.0,4.8,6.9,6.5,7.3,394.0,1543.0,2.0,20.0,1.0,4.0,2700.0,70000.0,24000.0,920000.0,Poor,Highly Polluted
3663.0,JOLADAKATTE TANK,TANK,KARNATAKA,21.0,27.0,4.2,5.8,7.7,8.1,390.0,650.0,2.1,3.0,0.3,0.3,210.0,470.0,1400.0,3500.0,Good,Clean
3682.0,KAKATI POND,TANK,KARNATAKA,21.0,32.0,4.0,9.0,8.4,10.3,1180.0,3819.0,1.1,16.2,0.4,6.53,920.0,1840.0,1600.0,3200.0,Poor,Highly Polluted
3607.0,KALKERE TANK,TANK,KARNATAKA,25.0,25.0,1.8,6.3,6.5,8.4,393.0,1201.0,4.0,25.0,0.4,5.3,3300.0,2800000.0,24000.0,16000000.0,Poor,Highly Polluted
4530.0,KAMMASANDRA TANK,TANK,KARNATAKA,25.0,25.0,0.3,4.1,6.7,7.3,1237.0,2135.0,9.0,101.0,1.8,16.0,2100.0,12000000.0,24000.0,92000000.0,Poor,Highly Polluted
3657.0,KANCHANAHALLI KOPPALU KERE,TANK,KARNATAKA,21.0,27.0,2.4,5.0,7.3,8.1,990.0,4300.0,3.4,6.8,0.5,1.9,110.0,700.0,920.0,4700.0,Poor,Moderately Polluted
3588.0,KARANJIKERE TANK,TANK,KARNATAKA,19.0,26.0,6.0,7.4,7.4,8.6,496.0,764.0,2.5,6.0,1.5,3.2,700.0,1100.0,4300.0,5800.0,Moderate,Slightly Polluted
3684.0,KELEGERE TANK,TANK,KARNATAKA,23.0,26.0,6.7,7.4,7.5,8.2,447.0,592.0,3.2,4.1,0.62,0.88,32.0,79.0,212.0,290.0,Moderate,Slightly Polluted
3639.0,KENGERI TANK,TANK,KARNATAKA,25.0,25.0,1.3,7.6,6.5,7.7,289.0,1389.0,3.0,40.0,0.59,6.3,3300.0,940000.0,24000.0,5400000.0,Poor,Highly Polluted
4511.0,KOGILU KERE,TANK,KARNATAKA,25.0,25.0,3.1,7.2,6.5,8.3,407.0,1332.0,3.0,13.0,0.4,4.4,3300.0,6300000.0,35000.0,160000000.0,Poor,Highly Polluted
3661.0,KOKKANAGHATTADODDAKERE TANK,TANK,KARNATAKA,22.0,27.0,3.6,6.9,7.7,8.8,500.0,2900.0,2.6,7.2,0.3,1.3,140.0,400.0,1100.0,2800.0,Poor,Moderately Polluted
3695.0,KONDAGGIKERE TANK,TANK,KARNATAKA,26.0,28.0,5.8,7.4,7.6,8.2,220.0,370.0,2.2,6.5,0.3,0.3,,,,,Poor,Moderately Polluted
3662.0,KOUSHIKA KERE,TANK,KARNATAKA,21.0,27.0,5.7,7.3,7.3,7.8,450.0,540.0,1.8,2.3,0.3,0.3,93.0,220.0,920.0,1400.0,Good,Clean
3692.0,KUNDUVADAKERE TANK,TANK,KARNATAKA,27.0,27.0,6.9,6.9,8.0,8.0,330.0,330.0,2.3,2.3,1.1,1.1,,,,,Good,Clean
3590.0,LALBAGH TANK,TANK,KARNATAKA,25.0,25.0,2.6,6.9,6.6,8.1,397.0,509.0,3.0,28.0,0.61,3.0,3100.0,49000.0,24000.0,540000.0,Poor,Highly Polluted
3665.0,LINGAPPANAKATTE TANK,TANK,KARNATAKA,21.0,27.0,5.0,7.0,7.5,7.9,370.0,620.0,2.0,3.0,0.3,0.3,94.0,270.0,920.0,1700.0,Good,Clean
3599.0,MADAVARA TANK,TANK,KARNATAKA,25.0,25.0,3.4,6.6,6.2,7.6,213.0,1240.0,2.0,13.0,0.56,3.8,2300.0,460000.0,24000.0,3500000.0,Poor,Highly Polluted
4503.0,MADHURE TANK,TANK,KARNATAKA,25.0,25.0,3.4,6.3,6.5,6.8,64.0,398.0,3.0,18.0,0.3,2.1,4900.0,11000000.0,24000.0,92000000.0,Poor,Highly Polluted
3589.0,MADIWALA TANK,TANK,KARNATAKA,25.0,25.0,4.2,7.1,6.7,8.4,286.0,1402.0,3.0,10.0,1.03,4.3,2300.0,170000.0,24000.0,1600000.0,Poor,Moderately Polluted
3659.0,MAKANA KERE,TANK,KARNATAKA,21.0,27.0,1.9,3.0,7.3,8.0,740.0,1400.0,3.8,5.8,0.7,1.2,930.0,2600.0,7000.0,13000.0,Moderate,Slightly Polluted
3635.0,MALATHAHALLI TANK,TANK,KARNATAKA,25.0,25.0,0.3,5.8,6.3,7.6,375.0,1898.0,4.0,38.0,1.6,7.8,4900.0,1100000.0,24000.0,9200000.0,Poor,Highly Polluted
4092.0,"MANCHALAPUR TANK, MANCHALAPUR, RAICHUR TQ & DIST",TANK,KARNATAKA,26.0,29.0,6.5,7.2,7.8,8.8,922.0,2385.0,6.0,18.0,0.3,2.27,7900.0,54000.0,35000.0,160000.0,Poor,Highly Polluted
4501.0,MANCHANABALE DAM,TANK,KARNATAKA,25.0,25.0,3.3,7.0,6.6,8.3,643.0,1100.0,4.0,10.0,0.3,14.04,3300.0,33000.0,24000.0,350000.0,Poor,Moderately Polluted
4512.0,MANCHANABALE DAM,TANK,KARNATAKA,25.0,25.0,0.3,6.5,6.5,7.4,183.0,1733.0,8.0,174.0,0.8,45.0,4600.0,63000.0,35000.0,540000.0,Poor,Highly Polluted
3697.0,MATTADAKERE TANK,TANK,KARNATAKA,24.0,29.5,4.2,8.4,7.2,8.4,770.0,920.0,5.0,34.0,0.3,3.0,,,,,Poor,Highly Polluted
3560.0,MAVENAKERE TANK,TANK,KARNATAKA,26.0,29.0,6.5,7.2,7.5,9.3,962.0,2156.0,7.0,30.0,0.3,0.36,14000.0,54000.0,54000.0,160000.0,Poor,Highly Polluted
3650.0,MELEKOTE TANK,TANK,KARNATAKA,25.0,25.0,1.1,6.4,6.6,8.0,704.0,1397.0,3.0,53.0,1.0,6.3,4600.0,110000.0,35000.0,920000.0,Poor,Highly Polluted
3648.0,MYDALA TANK,TANK,KARNATAKA,25.0,25.0,4.8,7.3,6.5,7.2,151.0,599.0,3.0,4.0,0.52,2.0,630.0,17000.0,5400.0,160000.0,Moderate,Slightly Polluted
3626.0,NAGAVARA TANK,TANK,KARNATAKA,25.0,25.0,1.0,7.1,6.5,8.0,308.0,773.0,3.0,35.0,0.5,3.0,4000.0,79000000.0,24000.0,540000000.0,Poor,Highly Polluted
3596.0,NAYANDANAHALLI TANK,TANK,KARNATAKA,25.0,25.1,0.3,6.0,6.1,8.0,211.0,1231.0,3.6,195.0,0.5,2.99,3300.0,700000.0,24000.0,3500000.0,Poor,Highly Polluted
3686.0,NIRASAGARAKERE TANK,TANK,KARNATAKA,24.0,25.0,7.3,7.6,7.5,8.2,326.0,438.0,1.0,2.5,0.32,0.92,2.0,14.0,10.0,32.0,Good,Clean
3687.0,NUGGIKERE TANK,TANK,KARNATAKA,23.0,25.0,6.5,6.9,7.3,8.1,620.0,850.0,3.2,3.8,0.72,1.92,19.0,52.0,76.0,148.0,Moderate,Slightly Polluted
3669.0,PEREMINAHALLI KERE,TANK,KARNATAKA,22.0,27.0,5.2,6.4,7.4,7.8,380.0,520.0,1.8,2.5,0.3,0.3,94.0,400.0,920.0,3300.0,Good,Clean
3565.0,PILIKULA TANK,TANK,KARNATAKA,28.0,30.0,4.9,7.9,6.5,7.2,128.0,224.0,2.0,3.0,2.1,7.0,23.0,1600.0,23.0,1600.0,Good,Clean
4502.0,RAMAMMANA KERE,TANK,KARNATAKA,25.0,25.0,2.8,6.9,7.2,8.4,896.0,1365.0,5.0,20.0,2.0,4.0,1200.0,94000.0,35000.0,1600000.0,Poor,Highly Polluted
4513.0,RAMAMMANA KERE,TANK,KARNATAKA,25.0,25.0,1.6,6.5,6.2,7.2,230.0,1366.0,2.0,47.0,0.56,3.51,3300.0,150000.0,24000.0,1600000.0,Poor,Highly Polluted
4531.0,RAYASANDRA LAKE,TANK,KARNATAKA,25.0,25.0,0.3,5.8,6.7,7.9,1035.0,1563.0,5.0,20.0,1.15,24.0,7900.0,94000.0,54000.0,540000.0,Poor,Highly Polluted
4498.0,"SANAVALLI DAM, MUNGOD",TANK,KARNATAKA,23.0,28.0,7.1,7.4,6.8,7.3,163.0,251.0,2.2,2.7,0.3,0.79,2.0,8.0,19.0,31.0,Good,Clean
3672.0,SANKALAPURAKERE TANK,TANK,KARNATAKA,22.0,27.0,4.1,6.4,7.4,7.9,450.0,700.0,2.0,2.6,0.3,0.3,170.0,460.0,1100.0,3500.0,Good,Clean
3594.0,SANKEY TANK,TANK,KARNATAKA,25.0,25.0,4.9,6.8,6.5,7.6,267.0,815.0,3.0,8.0,0.56,3.0,490.0,3300000.0,2400.0,24000000.0,Poor,Moderately Polluted
3667.0,SATHENAHALLIDODDAKERE TANK,TANK,KARNATAKA,22.0,28.0,4.5,6.2,7.6,8.1,780.0,1280.0,3.0,4.0,0.5,1.5,220.0,610.0,1600.0,4000.0,Moderate,Slightly Polluted
3674.0,SATHYAMANGALA KERE,TANK,KARNATAKA,22.0,28.0,5.4,6.5,7.5,7.9,370.0,470.0,1.8,2.4,0.3,0.3,140.0,340.0,1100.0,2400.0,Good,Clean
3694.0,SHANTHISAGARKERE TANK,TANK,KARNATAKA,25.0,28.0,6.0,7.3,7.7,8.3,104.0,330.0,2.0,3.0,0.3,0.47,,,,,Good,Clean
3677.0,SHARANABASAVESHWARA KERE,TANK,KARNATAKA,26.0,30.0,6.0,8.2,7.5,8.4,1035.0,1670.0,3.0,6.0,0.3,1.8,630.0,1400.0,2200.0,5400.0,Moderate,Slightly Polluted
3600.0,SHIVAPURA TANK,TANK,KARNATAKA,25.0,25.0,0.3,5.8,6.5,7.6,762.0,4110.0,5.0,83.0,2.0,9.19,4000.0,9400000.0,35000.0,54000000.0,Poor,Highly Polluted
3689.0,SOMESHWARAKERE TANK,TANK,KARNATAKA,23.0,25.0,5.8,6.8,7.1,7.9,732.0,1340.0,3.3,4.5,1.02,1.32,13.0,58.0,70.0,196.0,Moderate,Slightly Polluted
3668.0,SOUDRALLI KERE,TANK,KARNATAKA,21.0,27.0,4.3,5.9,7.3,7.8,690.0,1150.0,2.9,3.8,0.3,0.9,340.0,490.0,2200.0,3500.0,Moderate,Slightly Polluted
3633.0,SUBRAMANYAPURA TANK,TANK,KARNATAKA,25.0,25.0,0.3,4.8,6.5,7.6,969.0,2005.0,5.0,50.0,0.8,11.5,4600.0,940000.0,35000.0,5400000.0,Poor,Highly Polluted
3688.0,SUDANAKERE TANK,TANK,KARNATAKA,23.0,26.0,6.9,7.3,7.7,8.2,581.0,790.0,3.4,3.9,0.52,0.79,41.0,136.0,221.0,394.0,Moderate,Slightly Polluted
3690.0,UNAKALKERE TANK,TANK,KARNATAKA,25.0,26.0,6.9,7.3,7.7,8.3,876.0,1008.0,3.3,3.9,1.02,1.12,21.0,63.0,120.0,185.0,Moderate,Slightly Polluted
3640.0,UTTARAHALLI DORAIKERE,TANK,KARNATAKA,25.0,25.0,0.3,7.1,6.7,9.3,192.0,450.0,4.0,48.0,0.52,2.08,2700.0,94000.0,24000.0,540000.0,Poor,Highly Polluted
3632.0,VEERAPURA TANK,TANK,KARNATAKA,25.0,25.0,0.3,6.5,6.5,8.1,309.0,5860.0,3.0,124.0,0.8,9.0,4600.0,94000.0,24000.0,540000.0,Poor,Highly Polluted
3603.0,VENGAIHNAKERE,TANK,KARNATAKA,24.0,25.0,1.9,6.2,6.5,7.2,667.0,1330.0,2.0,81.0,0.8,12.0,2300.0,110000.0,24000.0,920000.0,Poor,Highly Polluted
